nombrefoto,urlfoto,categoria
caseta2022_reduced,https://frangue.com/ferialora/fotos/2022/caseta2022_reduced.jpeg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6700_reduced,https://frangue.com/ferialora/fotos/2022/IMG_6700_reduced.JPEG,/categoriafotos/n4xFopL2mtd5rnhrCNp2
portadanoche2022_reduced,https://frangue.com/ferialora/fotos/2022/portadanoche2022_reduced.JPEG,/categoriafotos/n4xFopL2mtd5rnhrCNp2
Cerveza_reduced,https://frangue.com/ferialora/fotos/2022/Cerveza_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
DSC_0251,https://frangue.com/ferialora/fotos/2022/DSC_0251_reduced.JPG,/categoriafotos/n4xFopL2mtd5rnhrCNp2
DSC_0015_1,https://frangue.com/ferialora/fotos/2022/DSC_0015_1_reduced.JPG,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_20190529_222907,https://frangue.com/ferialora/fotos/2022/IMG_20190529_222907_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_20190530_031624-1,https://frangue.com/ferialora/fotos/2022/IMG_20190530_031624-1_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_20190530_015852,https://frangue.com/ferialora/fotos/2022/IMG_20190530_015852_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_20190602_023358,https://frangue.com/ferialora/fotos/2022/IMG_20190602_023358_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
FB_IMG_1590615309804,https://frangue.com/ferialora/fotos/2022/FB_IMG_1590615309804.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_20220522_133115,https://frangue.com/ferialora/fotos/2022/IMG_20220522_133115_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_20220526_023022,https://frangue.com/ferialora/fotos/2022/IMG_20220526_023022_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_20220526_015927,https://frangue.com/ferialora/fotos/2022/IMG_20220526_015927_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
20220814_142208,https://frangue.com/ferialora/fotos/2022/20220814_142208_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_20220527_163520,https://frangue.com/ferialora/fotos/2022/IMG_20220527_163520_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
